numero de produit;Nom de produits;prix des produits;pourcentage_promo
1;Fashion Pantalon Décontracté Homme - Noir;3 450 FCFA;48%
2;Fashion Lot De 4 T-Shirt En Coton à Manches Courtes Pour Hommes;7 900 FCFA - 8 600 FCFA;54%
3;Fashion Baskets à Lacets Respirants pour Hommes de Couleur Unie;4 200 FCFA;49%
4;Fashion Baskets à Lacets Respirants pour Hommes de Couleur Unie;7 750 FCFA;24%
5;Fashion Baskets à Lacets Respirants Le fool shoes pour Hommes de Couleur Unie;2 800 FCFA;49%
6;Fashion Chaussures pour femmes- noires;2 790 FCFA - 3 100 FCFA;58%
7;Fashion 2021 Chaussures De Sport Mode Pour Hommes - Blanc;7 950 FCFA;49%
8;Fashion 2022 Hommes Classic Martin Boots Running Baskets - Noir/Blanc;8 699 FCFA;54%
9;Fashion homme sport veste Ensemble  + pantalon 2 pièces -bleu foncé;8 600 FCFA;38%
10;Fashion Baskets Décontractées pour Homme - Gris;6 900 FCFA;54%
11;Fashion Pantalons Chino pour Homme-Noir;3 800 FCFA;37%
12;Fashion Baskets à Lacets Respirants pour Hommes de Couleur Unie Basket de mode;6 300 FCFA;49%
13;Fashion Chaussures Décontractées pour Hommes en simili cuir - Noir;3 900 FCFA;49%
14;Generic Bijoux De Bague Pour Femmes En Cristal De Couleur Argent;650 FCFA;62%
