numero de produit;Nom de produits;prix des produits;pourcentage_promo
1;Fashion Chaussures Baskets Pour Femme - Noir;4 899 FCFA;49%
2;Fashion Chaussures de sport décontractées pour hommes-noir;3 900 FCFA;46%
3;Fashion Baskets Décontractées pour Hommes Walking Cheap -Bleu;5 500 FCFA;63%
4;WETIKE Chaussures de course décontractées pour hommes-marron;3 980 FCFA;49%
5;Fashion Chaussures de confort à semelle souple pour hommes;8 300 FCFA;51%
6;Fashion Baskets Décontractées Pour Hommes + chaussette;4 300 FCFA;59%
7;Fashion Baskets de sport décontractées pour hommes Tide Noir et blanc;7 500 FCFA - 8 500 FCFA;36%
8;Fashion Chaussures Baskets  Pour Femmes Noires;3 200 FCFA;47%
9;Fashion Martin Boots Men's Tooling All-match High-top Shoes-black;7 800 FCFA;35%
10;VITIKE Fashion Baskets De Sport Femme - bleu;5 990 FCFA - 6 690 FCFA;50%
11;Fashion Baskets à Lacets Respirants pour Hommes de Couleur Unie;4 200 FCFA;49%
12;Fashion Baskets à Lacets Respirants Couleur Unie- Noir;4 200 FCFA - 5 000 FCFA;65%
13;Fashion 2021 Chaussures De Sport Mode Pour Hommes - Blanc;7 950 FCFA;49%
14;Fashion Chaussures pour hommes baskets mode nouveau décontracté extérieur chaussures à la mode course Sport léger respirant baskets;3 590 FCFA - 3 970 FCFA;54%
15;Fashion Sneakers Homme Mode Respirant Sport Fashion - Noir;6 500 FCFA;7%
