;Numero;Nom-Produits;prix avec promo;pourcentage;prix réel 
;29;Astech Congélateur Vertical 6 Tiroirs 185L - Gris - Classe A+;195 300;13%;1502308
;30;Astech Congélateur - Astech - CH-190SD - 190 L;165 000;18%;916667
;31;Astech Congélateur - Astech - Horizontal - 195 Litres - Garantie 12 Mois;159 000;21%;757143
;32;SMART TECHNOLOGY Congélateur Horizontal 72 Litres Brut - Gris - STCC-102 - Garantie 12 Mois;92 900;38%;244474
;33;SMART TECHNOLOGY Congélateur Horizontal 275 Litres - Gris - STCC-275 - Garantie 12 Mois;138 300;27%;512222
;34;SMART TECHNOLOGY Congélateur Vertical 258 Litres - 7 tiroirs - Gris -STCD-355- Garantie 12 Mois;275 000;21%;1309524
Refrigérateur ;35;SMART TECHNOLOGY Congélateur Horizontal 286 Litres - Gris -STCC-385- Garantie 12 Mois;250 950;16%;1568438
;36;Haier CONGELATEUR - HAIER - HCF 428 - HORIZONTAL - BLANC;330 000;27%;1222222
;37;Beko Congelateur - Vertical - plaque Alu - 7 tiroirs - Beko - 280L - Garantie 12 Mois;365 000;19%;1921053
;38;Congélateur horizontal 200 L CAC - Gris - Vitres Coulissants - Garantie 12 Mois;188 900;33%;572424
;39;Haier Congélateur - Haier - Horizontal - HCF588 - 700L - BLANC - Garantie 12 Mois;479 000;13%;3684615
;40;Hisense - FC-34DD4SA - Congélateur Horizontal - 350 Litres;269 000;10%;2690000
;41;SMART TECHNOLOGY Cuisinière à Gaz 5 Feux 90x60Cm - Inox - Avec Four Haut et Bas - Rotisseur - Allumage automatique - minuteur -STC-9060C- Garantie 12 mois;269 000;10%;2690000
;42;SMART TECHNOLOGY Cuisinière à Gaz 4 Feux Inox - Avec Four Haut et Bas - Rotisseur - Allumage electrique - 60x60Cm - Inox -STC-6060C- Garantie 12 mois;164 500;18%;913889
;43;Astech Cuisinière 4 feux 50X50 CSI-50MS;84 400;11%;767273
;44;SMART TECHNOLOGY Plaque De Cuisson à Gaz - 3 Feux - STC 6780 - Garantie 12 Mois;30 875;23%;134239
;45;Elactron Plaque De Cuisson à Gaz Encastrable - 5 Feux - 60x90cm - Garantie 12 Mois;144 000;15%;960000
;46;SMART TECHNOLOGY Cuisinière à Gaz 4 Feux Inox -Four- Rotisseur - Allumage automatique - 50x50Cm - Inox -STC-5050l;109 900;27%;407037
;47;Elactron Cuisinière à Gaz 4 Feux Semi Inox - 60 X 60 Cm - Garantie 12 mois;114 900;12%;957500
;48;Westpool CUISINIERE - WESTPOOL - 60X60 - FULL OPTION;164 900;15%;1099333
